Name,1,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000,35000,40000,45000,50000
angular_script, 0,2,2,4,5,5,7,7,10,11,10,21,33,40,48,105,113,122,84,92,136,1920,3077,3980,5690,6936,2989,3648
angular_total, 5,8,9,8,9,10,12,11,14,15,15,26,38,45,56,114,121,132,94,107,158,1948,3109,4018,5739,6989,3016,3677
blazor_script, 1,4,7,7,8,10,11,13,13,14,15,29,39,60,77,101,121,134,156,184,315,487,927,927,1184,1482,2369,2365
blazor_total, 4,7,11,10,11,15,17,16,16,17,18,32,45,64,85,107,126,139,162,189,321,495,951,936,1195,1494,2392,2386
react_script, 0,1,1,2,2,2,3,3,3,6,4,8,12,19,22,26,28,32,34,37,53,66,88,100,112,130,145,155
react_total, 4,8,6,6,5,5,6,6,7,9,7,17,17,24,27,30,33,38,40,44,61,75,102,116,125,147,162,174
svelte_script, 0,1,1,1,2,2,3,4,4,4,5,12,15,23,28,32,38,40,45,51,69,97,121,145,171,192,212,236
svelte_total, 4,7,7,8,6,8,10,10,13,11,15,17,21,29,33,38,43,48,56,64,88,128,161,195,230,260,278,325
vue_script, 0,1,2,3,3,5,5,6,6,8,7,17,25,29,90,110,108,114,136,172,478,411,573,780,1028,1298,1559,1903
vue_total, 4,6,6,7,7,9,8,9,10,12,12,21,31,35,99,120,119,122,146,184,494,422,586,794,1045,1317,1579,1926
vue3_script, 0,1,2,2,2,2,3,3,4,4,5,11,16,19,22,27,31,34,37,40,55,82,97,112,127,147,161,173
vue3_total, 5,7,6,5,6,7,6,7,8,9,8,15,22,24,28,33,36,41,45,49,67,105,123,142,153,178,196,222
